id,classification
17666,PEGI +18
17670,None
17683,None
17684,None
17698,None
17741,None
17744,PEGI +16
17777,PEGI +7
17778,PEGI +12
17790,None
17794,None
17799,None
17803,PEGI +18
17807,PEGI +12
17818,PEGI +16
17835,PEGI +12
17863,PEGI +16
17875,PEGI +12
17885,PEGI +16
17908,PEGI +7
17909,PEGI +16
17925,PEGI +16
17949,PEGI +18
17959,PEGI +7
17976,None
17980,PEGI +12
17981,None
17983,None
17997,None
17998,None
18002,PEGI +12
18003,None
18015,None
18023,None
18030,None
18164,None
18183,PEGI +18
18185,PEGI +16
18201,None
18287,PEGI +12
18304,PEGI +16
18515,PEGI +12
18544,None
18555,None
18597,PEGI +16
18700,PEGI +12
18701,None
18706,PEGI +3
18712,None
18718,PEGI +16
18719,PEGI +18
18720,PEGI +16
18851,None
18886,PEGI +16
18908,PEGI +7
19056,None
19079,None
19163,None
19245,PEGI +12
19249,None
19276,PEGI +12
19277,PEGI +3
19285,PEGI +16
19286,PEGI +18
19295,PEGI +7
19300,None
19301,PEGI +16
19313,None
19334,None
19340,None
19345,PEGI +16
19351,PEGI +3
19362,None
19365,PEGI +18
19368,None
19369,PEGI +16
19377,PEGI +18
19378,None
19380,PEGI +18
19384,PEGI +18
19385,PEGI +12
19390,None
19397,PEGI +18
19402,PEGI +12
19407,PEGI +16
19413,None
19424,PEGI +12
19427,None
19434,None
19435,None
19437,PEGI +16
19439,PEGI +16
19452,PEGI +18
19466,None
19475,PEGI +18
19487,PEGI +16
19489,None
19490,None
19491,PEGI +7
19495,PEGI +7
19501,None
19509,None
19515,PEGI +16
19517,None
19520,PEGI +16
19535,PEGI +16
19548,PEGI +12
19551,None
19557,PEGI +12
19560,PEGI +16
19565,PEGI +18
19567,PEGI +18
19569,PEGI +18
19572,PEGI +16
19575,PEGI +12
19584,PEGI +16
19590,PEGI +7
19596,PEGI +12
19598,PEGI +12
19600,PEGI +16
19609,None
19611,PEGI +7
19615,PEGI +16
19624,None
19626,None
19627,None
19629,None
19637,PEGI +12
19642,None
19648,PEGI +18
19666,None
19672,PEGI +3
19684,None
19685,PEGI +16
19689,PEGI +18
19690,PEGI +12
19693,None
19701,PEGI +16
19800,None
19821,None
19856,PEGI +12
19869,PEGI +12
19996,None
20062,None
20156,None
20196,None
20309,PEGI +12
20426,None
20589,None
20762,None
20763,PEGI +18
20801,PEGI +12
20804,None
20809,PEGI +3
20837,None
20845,PEGI +18
20958,PEGI +16
21317,PEGI +3
21323,None
21383,PEGI +3
21390,PEGI +3
21438,PEGI +3
21523,None
21688,PEGI +7
21742,PEGI +12
21810,None
21905,None
21924,PEGI +18
21925,PEGI +3
21931,PEGI +12
21949,PEGI +12
21953,PEGI +16
21958,PEGI +16
22014,PEGI +12
22034,None
22036,PEGI +18
22041,PEGI +16
22055,PEGI +12
22060,PEGI +12
22083,None
22092,None
22105,PEGI +12
22121,PEGI +7
22124,PEGI +12
22149,None
22162,PEGI +7
22168,PEGI +12
22204,PEGI +3
22220,PEGI +12
22256,PEGI +7
22374,PEGI +3
22508,PEGI +12
22509,PEGI +3
22511,PEGI +12
22571,PEGI +16
22597,PEGI +16
22627,PEGI +3
22704,None
22716,None
22754,None
22774,None
22781,PEGI +3
22808,PEGI +12
22821,None
22827,PEGI +12
22872,PEGI +18
22909,None
22910,None
23037,PEGI +12
